candidate,month,n,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
pooled_2023_2025,2026-01,24,0.625,0.762962962962963,0.6682698601277209,0.23759908045700415,0.45360761880874634,0.5622390508651733
pooled_2023_2025,2026-02,15,0.6,0.5227272727272727,0.6941243014036748,0.25046508674827733,0.4357130527496338,0.5494648218154907
pooled_2023_2025,2026-03,1,0.0,,0.7039057884777018,0.25537909807793824,0.5053504705429077,0.5053504705429077
pooled_2023_2025,2026-04,44,0.6590909090909091,0.6581196581196581,0.6740971979153634,0.24050321940264016,0.4376086890697479,0.5623984932899475
pooled_2023_2025,2026-05,46,0.717391304347826,0.8057692307692308,0.6665029389679319,0.23670283688132135,0.4431711435317993,0.5595203638076782
pooled_2023_2025,2026-06,5,0.4,0.6666666666666666,0.7080350292118629,0.25746278734177486,0.45231369137763977,0.5703575015068054
pooled_2023_2025,2026-07,6,0.3333333333333333,0.22222222222222224,0.7032892576838159,0.2550690199548266,0.48198533058166504,0.5159796476364136
pooled_2023_2025,2026-08,38,0.4473684210526316,0.43768115942028984,0.698810137749566,0.25282255950656196,0.43519675731658936,0.5528560876846313
pooled_2023_2025,2026-09,7,0.42857142857142855,0.4,0.7001339807369938,0.2534668409709407,0.4607779383659363,0.5543990135192871
pooled_2025_scaler,2026-01,24,0.625,0.762962962962963,0.6612748242502207,0.2341278886778925,0.44305428862571716,0.5711629986763
pooled_2025_scaler,2026-02,15,0.5333333333333333,0.5454545454545454,0.6960433291155642,0.2514151562972971,0.42744868993759155,0.5557551383972168
pooled_2025_scaler,2026-03,1,0.0,,0.6933083645088528,0.2500805919737559,0.5000805854797363,0.5000805854797363
pooled_2025_scaler,2026-04,44,0.6590909090909091,0.688034188034188,0.6674488687652821,0.2372076772139546,0.42883923649787903,0.5762186050415039
pooled_2025_scaler,2026-05,46,0.7391304347826086,0.7884615384615384,0.6626430405514389,0.23478915957162713,0.4329336881637573,0.5778902173042297
pooled_2025_scaler,2026-06,5,0.4,0.3333333333333333,0.7170555290676116,0.2618961829253671,0.4459904432296753,0.5922735929489136
pooled_2025_scaler,2026-07,6,0.3333333333333333,0.22222222222222224,0.7060839026406375,0.25646529806595514,0.47739773988723755,0.5126794576644897
pooled_2025_scaler,2026-08,38,0.47368421052631576,0.408695652173913,0.7025884149423856,0.25470426124873313,0.41872134804725647,0.5647144317626953
pooled_2025_scaler,2026-09,7,0.42857142857142855,0.4,0.7074076820606895,0.25705807072607306,0.45807749032974243,0.5722569823265076
pooled_matched_epochs,2026-01,24,0.625,0.7481481481481482,0.6489635763758,0.22808447725600056,0.4135938286781311,0.5988714694976807
pooled_matched_epochs,2026-02,15,0.5333333333333333,0.5227272727272727,0.6978109290060045,0.25224011295253085,0.4001299738883972,0.5819846391677856
pooled_matched_epochs,2026-03,1,1.0,,0.6757983243096032,0.2413264535755042,0.4912498891353607,0.4912498891353607
pooled_matched_epochs,2026-04,44,0.6590909090909091,0.6837606837606837,0.6589363269339994,0.23303542634352373,0.39512842893600464,0.6021283864974976
pooled_matched_epochs,2026-05,46,0.717391304347826,0.7826923076923077,0.6528913881941858,0.22998045572137796,0.4042215645313263,0.6020110249519348
pooled_matched_epochs,2026-06,5,0.4,0.3333333333333333,0.7301226803450049,0.26837627129244057,0.42212992906570435,0.623767077922821
pooled_matched_epochs,2026-07,6,0.3333333333333333,0.22222222222222224,0.7120467336556654,0.25943530985242624,0.4683183431625366,0.531934380531311
pooled_matched_epochs,2026-08,38,0.4473684210526316,0.44637681159420284,0.704248492192473,0.2555176478229903,0.3982614576816559,0.594717264175415
pooled_matched_epochs,2026-09,7,0.42857142857142855,0.4,0.7083643498561966,0.2574879881682705,0.4328365921974182,0.5905328989028931
pooled_recent_weights,2026-01,24,0.5833333333333334,0.7555555555555555,0.671725406370137,0.23931513433862542,0.459796667098999,0.556837260723114
pooled_recent_weights,2026-02,15,0.5333333333333333,0.5227272727272727,0.6939379079130574,0.250377723748808,0.44039618968963623,0.5442143678665161
pooled_recent_weights,2026-03,1,0.0,,0.7148390248321335,0.26084424840096077,0.5107291340827942,0.5107291340827942
pooled_recent_weights,2026-04,44,0.6818181818181818,0.6538461538461539,0.6762731314842612,0.24158252367204128,0.4425222873687744,0.5575802326202393
pooled_recent_weights,2026-05,46,0.717391304347826,0.8019230769230768,0.6682873890733616,0.23758955784113867,0.4484720826148987,0.5534820556640625
pooled_recent_weights,2026-06,5,0.4,0.6666666666666666,0.7052576670475753,0.2560772486999504,0.4576191306114197,0.5645952224731445
pooled_recent_weights,2026-07,6,0.3333333333333333,0.22222222222222224,0.7021171524782964,0.2544832407145594,0.4813859760761261,0.5132652521133423
pooled_recent_weights,2026-08,38,0.4473684210526316,0.4492753623188406,0.6979229318047933,0.25238118471506243,0.44050177931785583,0.5467170476913452
pooled_recent_weights,2026-09,7,0.42857142857142855,0.4,0.6986371869492698,0.2527289069162997,0.4661785364151001,0.546703040599823
reference_2025,2026-01,24,0.75,0.7703703703703704,0.6592307233890216,0.2331120026057204,0.44233083724975586,0.5751776695251465
reference_2025,2026-02,15,0.6666666666666666,0.6136363636363636,0.6926528284217308,0.24972175673096425,0.4258382320404053,0.5614312887191772
reference_2025,2026-03,1,1.0,,0.6870567655943688,0.24695483034180654,0.49694550037384033,0.49694550037384033
reference_2025,2026-04,44,0.6590909090909091,0.6987179487179487,0.66240542875575,0.2347115472370377,0.4209541082382202,0.5833930373191833
reference_2025,2026-05,46,0.7608695652173914,0.7769230769230768,0.6588176012570192,0.23290555322297998,0.4166162610054016,0.5897221565246582
reference_2025,2026-06,5,0.4,0.3333333333333333,0.7170615038550976,0.2618473032009902,0.45585793256759644,0.6089869141578674
reference_2025,2026-07,6,0.3333333333333333,0.22222222222222224,0.7109022681786129,0.25886564003708745,0.4639299213886261,0.5164437294006348
reference_2025,2026-08,38,0.47368421052631576,0.46376811594202894,0.6982723219411302,0.2525718082924413,0.4216999411582947,0.5863497257232666
