candidate,seed,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
reference_2025,42,0.5268817204301075,0.5649861239592969,0.6898212501478344,0.24833859503269196,0.46114975214004517,0.545730471611023
reference_2025,43,0.5913978494623656,0.6244218316373727,0.6841244219114334,0.24549509584903717,0.4396701753139496,0.5729417204856873
reference_2025,44,0.6021505376344086,0.6393385753931544,0.6639647991264584,0.23571926355361938,0.28706294298171997,0.7358348965644836
pooled_2023_2025,42,0.4946236559139785,0.5041628122109159,0.6936889465054707,0.25027069449424744,0.45247942209243774,0.5469483137130737
pooled_2023_2025,43,0.5483870967741935,0.5659111933395005,0.6902396785152992,0.24854841828346252,0.4544193148612976,0.544844388961792
pooled_2023_2025,44,0.5913978494623656,0.6330943570767807,0.6687337815130361,0.23795698583126068,0.3249383866786957,0.691205620765686
pooled_2025_scaler,42,0.489247311827957,0.4791859389454209,0.6953414351473072,0.2510957717895508,0.4551117718219757,0.5474607944488525
pooled_2025_scaler,43,0.5967741935483871,0.6261563367252545,0.68345746660413,0.24516242742538452,0.4366012215614319,0.5801974534988403
pooled_2025_scaler,44,0.5967741935483871,0.6306082331174838,0.6686338929385589,0.23791618645191193,0.3117035925388336,0.6978638172149658
pooled_recent_weights,42,0.4946236559139785,0.504740980573543,0.6936046430262713,0.250228613615036,0.45262855291366577,0.5466355681419373
pooled_recent_weights,43,0.5483870967741935,0.5655642923219242,0.6902746242629705,0.24856585264205933,0.45462629199028015,0.5445811152458191
pooled_recent_weights,44,0.5913978494623656,0.6354070305272895,0.6702300560993648,0.23867137730121613,0.3397999703884125,0.6753075122833252
pooled_matched_epochs,42,0.543010752688172,0.5707678075855689,0.68942412396366,0.24814070761203766,0.4489169716835022,0.5446762442588806
pooled_matched_epochs,43,0.5752688172043011,0.6011794634597596,0.6866728611838723,0.2467668205499649,0.4456956088542938,0.5626022815704346
pooled_matched_epochs,44,0.5967741935483871,0.6321114708603146,0.6668189354565445,0.23697978258132935,0.22267472743988037,0.7745504975318909
selected_2025,42,0.6182795698924731,0.6314754856614246,0.6824984300700506,0.24468863010406494,0.4207901358604431,0.5814317464828491
selected_2025,43,0.5591397849462365,0.6333256244218317,0.6664539216260301,0.23692582547664642,0.3316589593887329,0.6960600018501282
selected_2025,44,0.6021505376344086,0.6369102682701203,0.6651583262365284,0.23628591001033783,0.3145451247692108,0.714988112449646
selected_2024_2025,42,0.5752688172043011,0.6355226641998151,0.6678382528363552,0.23755088448524475,0.3396714925765991,0.7007977962493896
selected_2024_2025,43,0.5967741935483871,0.6010638297872342,0.6889133033913359,0.24788546562194824,0.4524012804031372,0.5353706479072571
selected_2024_2025,44,0.5967741935483871,0.6339037927844587,0.6679523735718048,0.23758850991725922,0.3083643913269043,0.7060948014259338
selected_2023_2025,42,0.6129032258064516,0.6339037927844589,0.684046085050395,0.2454575151205063,0.4305341839790344,0.5694366693496704
selected_2023_2025,43,0.5806451612903226,0.5778214616096207,0.6899741213655615,0.2484154999256134,0.4548644423484802,0.5377762317657471
selected_2023_2025,44,0.5967741935483871,0.6382978723404256,0.6673604287702918,0.23728619515895844,0.318030446767807,0.6918428540229797
